Linux 6.5.0-35-generic (burcu-ABRA-A5-V15-8) 	14-06-2025 	_x86_64_	(12 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           9,03    0,13    1,60    0,37    0,00   88,86

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
loop0            0,00      0,00     0,00   0,00    0,00     1,21    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,00
loop1            0,33      3,95     0,00   0,00    0,01    12,14    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,00
loop10           0,01      0,06     0,00   0,00    0,17     6,06    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,00
loop11           0,10      3,80     0,00   0,00    0,08    36,54    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,03
loop12           0,01      0,05     0,00   0,00    0,03     9,51    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,00
loop13           0,00      0,01     0,00   0,00    0,05     2,70    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,00
loop14           0,10      3,50     0,00   0,00    0,06    34,13    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,02
loop15           0,00      0,00     0,00   0,00    0,00     1,27    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,00
loop2            0,08      1,00     0,00   0,00    0,08    12,88    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,01
loop3            0,01      0,18     0,00   0,00    0,19    19,98    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,00
loop4            0,27     13,68     0,00   0,00    0,15    50,86    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,02
loop5            0,01      0,18     0,00   0,00    0,16    19,28    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,00
loop6            0,62     12,16     0,00   0,00    0,06    19,46    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,02
loop7            0,63      3,12     0,00   0,00    0,01     4,93    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,01
loop8            0,01      0,06     0,00   0,00    0,06     7,25    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,00
loop9            0,01      0,06     0,00   0,00    0,09     8,14    0,00      0,00     0,00   0,00    0,00     0,00    0,00      0,00     0,00   0,00    0,00     0,00    0,00    0,00    0,00   0,00
nvme0n1        113,62   1313,13     2,72   2,34    0,10    11,56   67,65   1762,62    54,86  44,78    1,56    26,06    5,41   3398,53     0,00   0,00    0,97   628,65   12,40    1,04    0,13   5,74


